CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,,,
40362274,ANGELIKA FILM CENTER,MANHATTAN,18,WEST HOUSTON STREET,10012,2129952570,American ,04/27/2011,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,04/27/2011,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362344,WHITE CASTLE,BROOKLYN,531,MYRTLE AVENUE,11205,7188578132,Hamburgers,03/18/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,03/18/2014,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362344,WHITE CASTLE,BROOKLYN,531,MYRTLE AVENUE,11205,7188578132,Hamburgers,03/18/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,03/18/2014,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362344,WHITE CASTLE,BROOKLYN,531,MYRTLE AVENUE,11205,7188578132,Hamburgers,03/18/2014,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,01/29/2015,Administrative Miscellaneous / Initial Inspection,,,
40362344,WHITE CASTLE,BROOKLYN,531,MYRTLE AVENUE,11205,7188578132,Hamburgers,06/14/2013,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,01/29/2015,Calorie Posting / Initial Inspection,,,
40362344,WHITE CASTLE,BROOKLYN,531,MYRTLE AVENUE,11205,7188578132,Hamburgers,03/18/2013,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A,03/18/2013,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362344,WHITE CASTLE,BROOKLYN,531,MYRTLE AVENUE,11205,7188578132,Hamburgers,03/18/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,03/18/2013,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362344,WHITE CASTLE,BROOKLYN,531,MYRTLE AVENUE,11205,7188578132,Hamburgers,10/10/2012,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,10/10/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40362344,WHITE CASTLE,BROOKLYN,531,MYRTLE AVENUE,11205,7188578132,Hamburgers,10/10/2012,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,10/10/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40362344,WHITE CASTLE,BROOKLYN,531,MYRTLE AVENUE,11205,7188578132,Hamburgers,09/25/2012,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,14,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362344,WHITE CASTLE,BROOKLYN,531,MYRTLE AVENUE,11205,7188578132,Hamburgers,09/25/2012,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,14,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362344,WHITE CASTLE,BROOKLYN,531,MYRTLE AVENUE,11205,7188578132,Hamburgers,09/25/2012,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,14,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362344,WHITE CASTLE,BROOKLYN,531,MYRTLE AVENUE,11205,7188578132,Hamburgers,09/22/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,09/22/2011,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,04/21/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,04/21/2014,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,04/21/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,04/21/2014,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,11/12/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,11/12/2013,01/29/2015,Cycle Inspection / Re-inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,10/17/2013,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,23,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,10/17/2013,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,23,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,10/17/2013,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,23,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,10/17/2013,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,06/04/2013,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",Critical,12,A,06/04/2013,01/29/2015,Cycle Inspection / Re-inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,06/04/2013,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,06/04/2013,01/29/2015,Cycle Inspection / Re-inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,05/02/2013,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,20,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,05/02/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,20,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,05/02/2013,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,20,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,05/02/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,20,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,11/14/2012,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,10,A,11/14/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,11/14/2012,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,11/14/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,10/11/2012,Establishment re-opened by DOHMH,,,Not Applicable,0,P,10/11/2012,01/29/2015,Cycle Inspection / Reopening Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,10/05/2012,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,52,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,10/05/2012,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,52,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,10/05/2012,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,52,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,10/05/2012,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,52,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,10/05/2012,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,52,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,10/05/2012,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,52,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,10/05/2012,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,52,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,05/24/2012,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,13,A,05/24/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,05/24/2012,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,A,05/24/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,04/25/2012,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,22,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,04/25/2012,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,22,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,04/25/2012,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,04/25/2012,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,12/08/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,12/08/2011,01/29/2015,Cycle Inspection / Re-inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,12/08/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,12/08/2011,01/29/2015,Cycle Inspection / Re-inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,12/08/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,12/08/2011,01/29/2015,Cycle Inspection / Re-inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,11/23/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,17,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,11/23/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,11/23/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,17,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,09/17/2011,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,01/29/2015,Trans Fat / Second Compliance Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,07/20/2011,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,11,A,07/20/2011,01/29/2015,Cycle Inspection / Re-inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,07/20/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,07/20/2011,01/29/2015,Cycle Inspection / Re-inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,07/06/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,21,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,07/06/2011,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,21,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,07/06/2011,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,21,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,07/06/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,21,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362432,HO MEI RESTAURANT,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,04/23/2011,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,,01/29/2015,Trans Fat / Compliance Inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,09/26/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,9,A,09/26/2014,01/29/2015,Cycle Inspection / Re-inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,09/26/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,09/26/2014,01/29/2015,Cycle Inspection / Re-inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,09/04/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,64,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,09/04/2014,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,64,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,09/04/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,64,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,09/04/2014,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,64,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,09/04/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,64,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,09/04/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,64,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,09/04/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained, anti-siphonage or backflow prevention device not provided where required, equipment or floor not properly drained, sewage disposal system in disrepair or not functioning properly.,Not Critical,64,,,01/29/2015,Cycle Inspection / Initial Inspection
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,09/04/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,64,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,09/18/2013,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,13,A,09/18/2013,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,09/18/2013,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13,A,09/18/2013,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,09/18/2013,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained, anti-siphonage or backflow prevention device not provided where required, equipment or floor not properly drained, sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,09/18/2013,01/29/2015,Cycle Inspection / Initial Inspection
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,09/21/2012,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9,A,09/21/2012,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,09/21/2012,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,09/21/2012,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,05/09/2012,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11,A,05/09/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,05/09/2012,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,11,A,05/09/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,05/09/2012,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained, anti-siphonage or backflow prevention device not provided where required, equipment or floor not properly drained, sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,05/09/2012,01/29/2015,Cycle Inspection / Re-inspection
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,05/09/2012,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,05/09/2012,01/29/2015,Cycle Inspection / Re-inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,04/03/2012,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,19,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,04/03/2012,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,04/03/2012,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19,,,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362869,SHASHEMENE INT'L RESTAURA,BROOKLYN,195,EAST   56 STREET,11203,3474300871,Caribbean,05/13/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,05/13/2014,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362869,SHASHEMENE INT'L RESTAURA,BROOKLYN,195,EAST   56 STREET,11203,3474300871,Caribbean,05/08/2013,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained, anti-siphonage or backflow prevention device not provided where required, equipment or floor not properly drained, sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,05/08/2013,01/29/2015,Cycle Inspection / Initial Inspection
40362869,SHASHEMENE INT'L RESTAURA,BROOKLYN,195,EAST   56 STREET,11203,3474300871,Caribbean,05/08/2013,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,7,A,05/08/2013,01/29/2015,Cycle Inspection / Initial Inspection,,,
40362869,SHASHEMENE INT'L RESTAURA,BROOKLYN,195,EAST   56 STREET,11203,3474300871,Caribbean,05/08/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,05/08/2013,01/29/2015,Cycle Inspection / Initial Inspection,,,
